# r   Lambda(r)
3.529411764705882604e+01 -7.167443669570614517e-01
3.541927409261577253e+01 -7.308657342165730819e-01
3.554443053817271903e+01 -7.413004455544162097e-01
3.566958698372966552e+01 -7.502368916369438478e-01
3.579474342928661201e+01 -7.462857378374744277e-01
3.591989987484355851e+01 -7.508183714716633039e-01
3.604505632040050500e+01 -7.601653872758227237e-01
3.617021276595745150e+01 -7.793840737105528493e-01
3.629536921151439799e+01 -7.843469218112508745e-01
3.642052565707133738e+01 -7.910274174352058818e-01
3.654568210262828387e+01 -8.059361774810092083e-01
3.667083854818523037e+01 -8.064586501142088082e-01
3.679599499374217686e+01 -8.142351503155829118e-01
3.692115143929912335e+01 -8.261235317604226358e-01
3.704630788485606985e+01 -8.348216755275860157e-01
3.717146433041301634e+01 -8.449002931065298094e-01
3.729662077596996284e+01 -8.371226802627411701e-01
3.742177722152690933e+01 -8.409745990608047395e-01
3.754693366708385582e+01 -8.481678234704967956e-01
3.767209011264080232e+01 -8.483908643258029070e-01
3.779724655819774881e+01 -8.527384384643835746e-01
3.792240300375469531e+01 -8.646730052756612661e-01
3.804755944931164180e+01 -8.670787361531772097e-01
3.817271589486858829e+01 -8.710482464078752596e-01
3.829787234042553479e+01 -8.750564285776905038e-01
3.842302878598248128e+01 -8.801834433406481306e-01
3.854818523153942778e+01 -8.890634006671687128e-01
3.867334167709637427e+01 -9.038687725114102900e-01
3.879849812265332076e+01 -9.173399834586312140e-01
3.892365456821026726e+01 -9.251225997275908108e-01
3.904881101376721375e+01 -9.415197083882885787e-01
3.917396745932416025e+01 -9.432804077712908519e-01
3.929912390488110674e+01 -9.452377647503243940e-01
3.942428035043804613e+01 -9.516059073762948017e-01
3.954943679599499262e+01 -9.514193864926802080e-01
3.967459324155193912e+01 -9.643900197174587463e-01
3.979974968710888561e+01 -9.675045906534064377e-01
3.992490613266583210e+01 -9.723383709990108814e-01
4.005006257822277860e+01 -9.728658766162485705e-01
