# r   Lambda(r)
3.679599499374217686e+01 -1.561241203336962036e+00
3.692115143929912335e+01 -1.560286729999549760e+00
3.704630788485606985e+01 -1.554560932683734631e+00
3.717146433041301634e+01 -1.564248239219716341e+00
3.729662077596996284e+01 -1.564639172367882303e+00
3.742177722152690933e+01 -1.558042539304594465e+00
3.754693366708385582e+01 -1.564806376640730745e+00
3.767209011264080232e+01 -1.568559312755018587e+00
3.779724655819774881e+01 -1.575109479730004480e+00
3.792240300375469531e+01 -1.593248741360198117e+00
3.804755944931164180e+01 -1.591446678482559163e+00
3.817271589486858829e+01 -1.591485244370337115e+00
3.829787234042553479e+01 -1.583123291273602851e+00
3.842302878598248128e+01 -1.590019123831126091e+00
3.854818523153942778e+01 -1.596558110152003440e+00
3.867334167709637427e+01 -1.593603418394430093e+00
3.879849812265332076e+01 -1.606543837938466224e+00
3.892365456821026726e+01 -1.610042544996224123e+00
3.904881101376721375e+01 -1.613816018701698773e+00
3.917396745932416025e+01 -1.606927855209581590e+00
3.929912390488110674e+01 -1.608336735405103912e+00
3.942428035043804613e+01 -1.613046597053714670e+00
3.954943679599499262e+01 -1.626206496203574492e+00
3.967459324155193912e+01 -1.625566606887300702e+00
3.979974968710888561e+01 -1.619102326982433393e+00
3.992490613266583210e+01 -1.618335314596064389e+00
4.005006257822277860e+01 -1.617934778209262792e+00
4.017521902377972509e+01 -1.615844357174237356e+00
4.030037546933667159e+01 -1.621286336606379663e+00
4.042553191489361808e+01 -1.629518913432449700e+00
4.055068836045056457e+01 -1.635211330621955561e+00
4.067584480600751107e+01 -1.640375774928499286e+00
4.080100125156445756e+01 -1.636923741959827927e+00
4.092615769712140406e+01 -1.640390379226098094e+00
4.105131414267835055e+01 -1.646995525836598029e+00
4.117647058823529704e+01 -1.650396768567563344e+00
4.130162703379224354e+01 -1.663445920498937136e+00
4.142678347934919003e+01 -1.674091169305727655e+00
4.155193992490613653e+01 -1.681498486449247043e+00
4.167709637046308302e+01 -1.693027891481675873e+00
4.180225281602002951e+01 -1.693114521717164811e+00
4.192740926157697601e+01 -1.691739798842504028e+00
4.205256570713392250e+01 -1.703592898404681089e+00
4.217772215269086900e+01 -1.707098603461508546e+00
4.230287859824780838e+01 -1.705549073347722766e+00
4.242803504380475488e+01 -1.705533635499019374e+00
4.255319148936170137e+01 -1.702700432379503415e+00
4.267834793491864787e+01 -1.700495898116214599e+00
4.280350438047559436e+01 -1.694533513627988874e+00
4.292866082603254085e+01 -1.697896126346374768e+00
4.305381727158948735e+01 -1.700470109123792595e+00
4.317897371714643384e+01 -1.686623733895262545e+00
4.330413016270338034e+01 -1.691086360172586733e+00
4.342928660826032683e+01 -1.689155783384216569e+00
4.355444305381727332e+01 -1.694012529806705913e+00
4.367959949937421982e+01 -1.698319882605521691e+00
4.380475594493116631e+01 -1.702222692514267388e+00
4.392991239048811281e+01 -1.697302209303966247e+00
4.405506883604505930e+01 -1.699727504586254323e+00
4.418022528160200579e+01 -1.698594560263408271e+00
4.430538172715895229e+01 -1.697751583834619327e+00
4.443053817271589878e+01 -1.699547715831119410e+00
4.455569461827284528e+01 -1.697327136431627581e+00
4.468085106382979177e+01 -1.696279264354341842e+00
4.480600750938673826e+01 -1.701977337581134675e+00
4.493116395494368476e+01 -1.699911441952376201e+00
4.505632040050063125e+01 -1.704570154221910494e+00
4.518147684605757064e+01 -1.701539808767812412e+00
4.530663329161451713e+01 -1.706005581622308531e+00
4.543178973717146363e+01 -1.703914000418453201e+00
4.555694618272841012e+01 -1.702285167139762523e+00
4.568210262828535662e+01 -1.704167006814587770e+00
4.580725907384230311e+01 -1.700873099471096106e+00
4.593241551939924960e+01 -1.696967273519720987e+00
4.605757196495619610e+01 -1.704814696455601908e+00
4.618272841051314259e+01 -1.707420606619350911e+00
4.630788485607008909e+01 -1.709685016749562969e+00
4.643304130162703558e+01 -1.704162592198983139e+00
4.655819774718398207e+01 -1.702003528055681780e+00
4.668335419274092857e+01 -1.706809397740130851e+00
4.680851063829787506e+01 -1.707914875465321503e+00
4.693366708385482156e+01 -1.695307487034943383e+00
4.705882352941176805e+01 -1.695653700350876480e+00
4.718397997496871454e+01 -1.690009771876767042e+00
4.730913642052566104e+01 -1.694734643047160816e+00
4.743429286608260753e+01 -1.705301593322163578e+00
4.755944931163955403e+01 -1.707490162027935687e+00
4.768460575719650052e+01 -1.709251155488803686e+00
4.780976220275344701e+01 -1.715097531542537634e+00
4.793491864831039351e+01 -1.724311821457241711e+00
4.806007509386734000e+01 -1.733399308035159514e+00
4.818523153942427939e+01 -1.747493987387635617e+00
4.831038798498122588e+01 -1.749590803790147309e+00
4.843554443053817238e+01 -1.762296082577305301e+00
4.856070087609511887e+01 -1.775094626317517799e+00
4.868585732165206537e+01 -1.778686901360992278e+00
4.881101376720901186e+01 -1.780207460431811661e+00
4.893617021276595835e+01 -1.787766362514865204e+00
4.906132665832290485e+01 -1.792339269820235836e+00
4.918648310387985134e+01 -1.792122292360756042e+00
4.931163954943679784e+01 -1.809055472003072929e+00
4.943679599499374433e+01 -1.813147863905632651e+00
4.956195244055069082e+01 -1.813803874812162098e+00
4.968710888610763732e+01 -1.815526500559505596e+00
4.981226533166458381e+01 -1.811808941358286074e+00
4.993742177722153031e+01 -1.811303424831618436e+00
5.006257822277847680e+01 -1.797623823919734631e+00
5.018773466833542329e+01 -1.802376547159344256e+00
5.031289111389236979e+01 -1.794917750646577215e+00
5.043804755944931628e+01 -1.795387314016738234e+00
5.056320400500626278e+01 -1.790211153999353932e+00
5.068836045056320927e+01 -1.792604599041242031e+00
5.081351689612015576e+01 -1.802334107444265809e+00
5.093867334167710226e+01 -1.817168672586490175e+00
5.106382978723404165e+01 -1.824286736380791751e+00
5.118898623279098814e+01 -1.816172605007540852e+00
5.131414267834793463e+01 -1.800394510589449215e+00
5.143929912390488113e+01 -1.802411351482683832e+00
5.156445556946182762e+01 -1.807911343494418510e+00
5.168961201501877412e+01 -1.786209044752631092e+00
5.181476846057572061e+01 -1.770150429134985215e+00
5.193992490613266710e+01 -1.770779157187012620e+00
5.206508135168961360e+01 -1.767373693647736665e+00
5.219023779724656009e+01 -1.774631188856861330e+00
5.231539424280350659e+01 -1.770702070785783233e+00
5.244055068836045308e+01 -1.754086618388457364e+00
5.256570713391739957e+01 -1.751801246499685494e+00
5.269086357947434607e+01 -1.742556526828468177e+00
5.281602002503129256e+01 -1.731387415284773690e+00
5.294117647058823906e+01 -1.729064531263400317e+00
5.306633291614518555e+01 -1.720498720221851796e+00
5.319148936170213204e+01 -1.726985186277821605e+00
5.331664580725907854e+01 -1.724457845691136804e+00
5.344180225281602503e+01 -1.718208903855079628e+00
5.356695869837297153e+01 -1.717675113716771840e+00
5.369211514392991802e+01 -1.709244105185240281e+00
5.381727158948686451e+01 -1.702258808982843430e+00
5.394242803504380390e+01 -1.708659828535188607e+00
5.406758448060075040e+01 -1.700505208251039235e+00
5.419274092615769689e+01 -1.694575469319940852e+00
5.431789737171464338e+01 -1.690449883666329089e+00
5.444305381727158988e+01 -1.693821932625503512e+00
5.456821026282853637e+01 -1.687572428741352493e+00
5.469336670838548287e+01 -1.688989014825918789e+00
5.481852315394242936e+01 -1.691731371468820022e+00
5.494367959949937585e+01 -1.700794520266397658e+00
5.506883604505632235e+01 -1.708198730509972840e+00
5.519399249061326884e+01 -1.712070429736968213e+00
5.531914893617021534e+01 -1.721808101573056415e+00
5.544430538172716183e+01 -1.721073789064114345e+00
5.556946182728410832e+01 -1.710402057674343501e+00
5.569461827284105482e+01 -1.704281133043754393e+00
5.581977471839800131e+01 -1.698511046247103806e+00
5.594493116395494781e+01 -1.697381152477376309e+00
5.607008760951189430e+01 -1.696825754685880705e+00
5.619524405506884079e+01 -1.691659286403200069e+00
5.632040050062578729e+01 -1.690224784448733919e+00
5.644555694618273378e+01 -1.695746665245828622e+00
5.657071339173968028e+01 -1.700824028753444628e+00
5.669586983729662677e+01 -1.687489033744257627e+00
5.682102628285356616e+01 -1.687443337915398800e+00
5.694618272841051265e+01 -1.692251858854972202e+00
5.707133917396745915e+01 -1.675539748482903546e+00
5.719649561952440564e+01 -1.675676273946522077e+00
5.732165206508135213e+01 -1.665857532957167875e+00
5.744680851063829863e+01 -1.657688567777667821e+00
5.757196495619524512e+01 -1.653860048709298258e+00
5.769712140175219162e+01 -1.656429356774093531e+00
5.782227784730913811e+01 -1.664556515281355731e+00
5.794743429286608460e+01 -1.664049553383241564e+00
5.807259073842303110e+01 -1.670615127328610727e+00
5.819774718397997759e+01 -1.671683954484390666e+00
5.832290362953692409e+01 -1.669326232261528320e+00
5.844806007509387058e+01 -1.665716680493671609e+00
5.857321652065081707e+01 -1.663933785802223619e+00
5.869837296620776357e+01 -1.661350677445333046e+00
5.882352941176471006e+01 -1.661586979777107231e+00
5.894868585732165656e+01 -1.668724054631256948e+00
5.907384230287860305e+01 -1.662458799431686618e+00
5.919899874843554954e+01 -1.666304633711671146e+00
5.932415519399249604e+01 -1.661774490813952454e+00
5.944931163954944253e+01 -1.654474062051093153e+00
5.957446808510638903e+01 -1.658164321622580539e+00
5.969962453066333552e+01 -1.655449900884147008e+00
5.982478097622027491e+01 -1.657118637017135354e+00
5.994993742177722140e+01 -1.651287565081120068e+00
6.007509386733416790e+01 -1.653819936925188028e+00
6.020025031289111439e+01 -1.645884329827597137e+00
6.032540675844806088e+01 -1.643631870952237284e+00
6.045056320400500738e+01 -1.633410447436086432e+00
6.057571964956195387e+01 -1.635456552560445198e+00
6.070087609511890037e+01 -1.638092267984040173e+00
