# r   Lambda(r)
2.403003754693367000e+01 -3.579635656426501278e+00
2.415519399249061294e+01 -3.583722266177971072e+00
2.428035043804755944e+01 -3.591455112535608674e+00
2.440550688360450593e+01 -3.596613426160889748e+00
2.453066332916145242e+01 -3.604010942802442052e+00
2.465581977471839892e+01 -3.626238941520769199e+00
2.478097622027534541e+01 -3.631988539529175331e+00
2.490613266583229191e+01 -3.638436656493158949e+00
2.503128911138923840e+01 -3.653924830063227880e+00
2.515644555694618489e+01 -3.668634454166037173e+00
2.528160200250313139e+01 -3.669362318086460739e+00
2.540675844806007788e+01 -3.678253472080629916e+00
2.553191489361702082e+01 -3.680907528481002888e+00
2.565707133917396732e+01 -3.696065215271871818e+00
2.578222778473091381e+01 -3.707948523018991693e+00
2.590738423028786030e+01 -3.715365850837981654e+00
2.603254067584480680e+01 -3.723684804013366989e+00
2.615769712140175329e+01 -3.725799095844747999e+00
2.628285356695869979e+01 -3.736630403960089719e+00
2.640801001251564628e+01 -3.739994654533392637e+00
2.653316645807259277e+01 -3.749635746747498999e+00
2.665832290362953927e+01 -3.755816588307587356e+00
2.678347934918648576e+01 -3.770471808265281055e+00
2.690863579474343226e+01 -3.773436800224235554e+00
2.703379224030037520e+01 -3.782976529580880598e+00
2.715894868585732169e+01 -3.787300793944807786e+00
2.728410513141426819e+01 -3.782245908337209972e+00
2.740926157697121468e+01 -3.788940549666467206e+00
2.753441802252816117e+01 -3.800767665877394119e+00
2.765957446808510767e+01 -3.811831835545833602e+00
2.778473091364205416e+01 -3.819693808477268249e+00
2.790988735919900066e+01 -3.821857198177960768e+00
2.803504380475594715e+01 -3.837779884674758613e+00
2.816020025031289364e+01 -3.825757562849491311e+00
2.828535669586984014e+01 -3.838988373066426707e+00
2.841051314142678308e+01 -3.839860887924315680e+00
2.853566958698372957e+01 -3.852164391783910347e+00
2.866082603254067607e+01 -3.851734063255830787e+00
2.878598247809762256e+01 -3.858077276358384378e+00
2.891113892365456906e+01 -3.865042028115657224e+00
2.903629536921151555e+01 -3.873084521263399971e+00
2.916145181476846204e+01 -3.874957421559914739e+00
2.928660826032540854e+01 -3.885889692487904945e+00
2.941176470588235503e+01 -3.889197170451837327e+00
2.953692115143930152e+01 -3.899148495009500337e+00
2.966207759699624802e+01 -3.903860840856817838e+00
2.978723404255319451e+01 -3.908425484901583591e+00
2.991239048811013745e+01 -3.907965095712406356e+00
3.003754693366708395e+01 -3.917176263443840512e+00
3.016270337922403044e+01 -3.917854410693208056e+00
3.028785982478097694e+01 -3.928317727881466492e+00
3.041301627033792343e+01 -3.932518133751495615e+00
3.053817271589486992e+01 -3.945917153138814193e+00
3.066332916145181642e+01 -3.942418525853116140e+00
3.078848560700876291e+01 -3.952451950810287329e+00
3.091364205256570941e+01 -3.959310708093420672e+00
3.103879849812265590e+01 -3.954751118826357548e+00
3.116395494367960239e+01 -3.964474394283299397e+00
3.128911138923654889e+01 -3.967907878661899090e+00
3.141426783479349183e+01 -3.973190228034515492e+00
3.153942428035043832e+01 -3.976653399725845972e+00
3.166458072590738482e+01 -3.980052657070435984e+00
3.178973717146433131e+01 -3.982619430435530017e+00
3.191489361702127781e+01 -3.983865845656610727e+00
3.204005006257822430e+01 -4.000153628990912758e+00
3.216520650813517079e+01 -4.001682962181822845e+00
3.229036295369211729e+01 -4.000421444406131677e+00
3.241551939924906378e+01 -4.006100823160351432e+00
3.254067584480601028e+01 -4.018838931770827294e+00
3.266583229036295677e+01 -4.011250494970393987e+00
3.279098873591990326e+01 -4.022709264243691685e+00
3.291614518147684976e+01 -4.021017964839998626e+00
3.304130162703379625e+01 -4.024132915260561383e+00
3.316645807259074274e+01 -4.030620224900697046e+00
3.329161451814768924e+01 -4.029258454373075615e+00
3.341677096370463573e+01 -4.036820540147298075e+00
3.354192740926157512e+01 -4.042541704230790067e+00
3.366708385481852162e+01 -4.045302876651025947e+00
3.379224030037546811e+01 -4.054870047820887002e+00
3.391739674593241460e+01 -4.055337196233567809e+00
3.404255319148936110e+01 -4.059406366711589165e+00
3.416770963704630759e+01 -4.056918024016117563e+00
3.429286608260325409e+01 -4.061778742949316623e+00
3.441802252816020058e+01 -4.067724079748755273e+00
3.454317897371714707e+01 -4.071271113569135736e+00
3.466833541927409357e+01 -4.072278102393916299e+00
3.479349186483104006e+01 -4.074904340075592657e+00
3.491864831038798656e+01 -4.078215965249799346e+00
3.504380475594493305e+01 -4.082309982911004553e+00
3.516896120150187954e+01 -4.086865978111590358e+00
3.529411764705882604e+01 -4.088713509336658447e+00
3.541927409261577253e+01 -4.091973100906136196e+00
3.554443053817271903e+01 -4.095103338441405505e+00
3.566958698372966552e+01 -4.097934035757937465e+00
3.579474342928661201e+01 -4.100449733865127122e+00
3.591989987484355851e+01 -4.103620085573840726e+00
3.604505632040050500e+01 -4.106250459414338749e+00
3.617021276595745150e+01 -4.108444497457375277e+00
3.629536921151439799e+01 -4.107384790001991526e+00
3.642052565707133738e+01 -4.114660931293022017e+00
3.654568210262828387e+01 -4.118208037827763235e+00
3.667083854818523037e+01 -4.116464321010449900e+00
3.679599499374217686e+01 -4.123873215251815161e+00
3.692115143929912335e+01 -4.123457998896288501e+00
3.704630788485606985e+01 -4.129680419698418703e+00
3.717146433041301634e+01 -4.127067784853290178e+00
3.729662077596996284e+01 -4.131155978038915322e+00
3.742177722152690933e+01 -4.136308157788059603e+00
3.754693366708385582e+01 -4.139614858916581319e+00
3.767209011264080232e+01 -4.140416658493856872e+00
3.779724655819774881e+01 -4.140652895434731917e+00
3.792240300375469531e+01 -4.142815831871917709e+00
3.804755944931164180e+01 -4.145400238988181663e+00
3.817271589486858829e+01 -4.149580343082539535e+00
3.829787234042553479e+01 -4.153980778801582119e+00
3.842302878598248128e+01 -4.159135039459162186e+00
3.854818523153942778e+01 -4.159608410964795056e+00
