# r   Lambda(r)
1.476846057571965076e+01 9.432520876668432086e-01
1.489361702127659726e+01 9.441422636265944801e-01
1.501877346683354197e+01 9.441944985826240533e-01
1.514392991239048847e+01 9.443031422724285084e-01
1.526908635794743496e+01 9.442282843258994474e-01
1.539424280350438146e+01 9.443292238708412834e-01
1.551939924906132795e+01 9.439990048250578303e-01
1.564455569461827444e+01 9.431457225131226751e-01
1.576971214017521916e+01 9.431971699789871710e-01
1.589486858573216566e+01 9.443042396920572346e-01
1.602002503128911215e+01 9.439307326640299367e-01
1.614518147684605864e+01 9.431116122659716217e-01
1.627033792240300514e+01 9.433800612550219400e-01
1.639549436795995163e+01 9.441217484962765027e-01
1.652065081351689813e+01 9.439735680218948044e-01
1.664580725907384462e+01 9.443526325711636416e-01
1.677096370463078756e+01 9.438516230727231893e-01
1.689612015018773405e+01 9.443345785578278750e-01
1.702127659574468055e+01 9.442428964108222633e-01
1.714643304130162704e+01 9.440598323959781268e-01
1.727158948685857354e+01 9.435486040908852567e-01
1.739674593241552003e+01 9.442535926562061199e-01
1.752190237797246652e+01 9.441509171592655791e-01
1.764705882352941302e+01 9.440845206566770287e-01
1.777221526908635951e+01 9.438817737297536814e-01
1.789737171464330601e+01 9.442160584446062099e-01
1.802252816020025250e+01 9.442903847158953257e-01
1.814768460575719899e+01 9.441442182362917990e-01
1.827284105131414194e+01 9.434858492958662080e-01
1.839799749687108843e+01 9.438106234770348157e-01
1.852315394242803492e+01 9.441838840333081073e-01
1.864831038798498142e+01 9.440739833605666931e-01
1.877346683354192791e+01 9.438612963712381676e-01
1.889862327909887441e+01 9.441754040445609064e-01
1.902377972465582090e+01 9.442543181241306316e-01
1.914893617021276739e+01 9.438259960787604985e-01
1.927409261576971389e+01 9.436458134467211600e-01
1.939924906132666038e+01 9.440404057072216970e-01
1.952440550688360688e+01 9.439780459441994287e-01
1.964956195244055337e+01 9.441135834787787173e-01
1.977471839799749631e+01 9.438113440203005355e-01
1.989987484355444280e+01 9.436909620845793656e-01
2.002503128911138930e+01 9.438764201758176320e-01
2.015018773466833579e+01 9.441461829024064834e-01
2.027534418022528229e+01 9.441616966744331707e-01
2.040050062578222878e+01 9.443369922066423561e-01
2.052565707133917527e+01 9.440916743638220199e-01
2.065081351689612177e+01 9.441369530099164020e-01
2.077596996245306826e+01 9.430069940929998173e-01
2.090112640801001476e+01 9.441588176007289501e-01
2.102628285356696125e+01 9.440646605612811326e-01
2.115143929912390419e+01 9.439276373686941168e-01
2.127659574468085069e+01 9.439935158371705048e-01
2.140175219023779718e+01 9.440844554264726796e-01
2.152690863579474367e+01 9.440684346943878369e-01
2.165206508135169017e+01 9.433986595061626401e-01
2.177722152690863666e+01 9.440659845813108575e-01
2.190237797246558316e+01 9.433729441617435540e-01
2.202753441802252965e+01 9.435068652419035251e-01
2.215269086357947614e+01 9.440041076438888679e-01
2.227784730913642264e+01 9.442257473532708056e-01
2.240300375469336913e+01 9.437981098094558874e-01
2.252816020025031563e+01 9.443453705329908354e-01
2.265331664580725857e+01 9.438873265811410507e-01
2.277847309136420506e+01 9.438463776690210194e-01
2.290362953692115155e+01 9.424876622846976026e-01
2.302878598247809805e+01 9.426624225387210121e-01
2.315394242803504454e+01 9.433583220654369050e-01
2.327909887359199104e+01 9.441120376512792678e-01
2.340425531914893753e+01 9.439799438248619445e-01
2.352941176470588402e+01 9.434672047476637680e-01
2.365456821026283052e+01 9.428523816466640728e-01
2.377972465581977701e+01 9.441659119935738032e-01
2.390488110137672351e+01 9.441598579894947552e-01
2.403003754693367000e+01 9.438314587891714069e-01
2.415519399249061294e+01 9.441648016765454843e-01
2.428035043804755944e+01 9.443095205116059931e-01
2.440550688360450593e+01 9.443180779138243830e-01
2.453066332916145242e+01 9.443494212158912715e-01
2.465581977471839892e+01 9.434063174743752000e-01
2.478097622027534541e+01 9.441081759654327277e-01
2.490613266583229191e+01 9.440965670182475122e-01
2.503128911138923840e+01 9.438939280019240652e-01
2.515644555694618489e+01 9.431090112751728816e-01
2.528160200250313139e+01 9.432016233343418765e-01
2.540675844806007788e+01 9.440742498809986394e-01
2.553191489361702082e+01 9.440338155264987874e-01
2.565707133917396732e+01 9.441303785265042769e-01
2.578222778473091381e+01 9.440898887218364122e-01
2.590738423028786030e+01 9.442675609952275728e-01
2.603254067584480680e+01 9.428892648668145693e-01
2.615769712140175329e+01 9.438523763972924696e-01
2.628285356695869979e+01 9.437996637306560466e-01
2.640801001251564628e+01 9.435849164734393391e-01
2.653316645807259277e+01 9.435952817676254156e-01
2.665832290362953927e+01 9.430626281818075274e-01
2.678347934918648576e+01 9.441592075330766942e-01
2.690863579474343226e+01 9.443151361006659750e-01
2.703379224030037520e+01 9.443167552740507897e-01
2.715894868585732169e+01 9.443449997925517092e-01
2.728410513141426819e+01 9.441626203443141963e-01
2.740926157697121468e+01 9.442204244793976908e-01
2.753441802252816117e+01 9.443505736363260183e-01
2.765957446808510767e+01 9.441391661892847287e-01
2.778473091364205416e+01 9.438741963945722624e-01
2.790988735919900066e+01 9.439211554345607880e-01
2.803504380475594715e+01 9.440436534699986337e-01
2.816020025031289364e+01 9.440191105624101686e-01
2.828535669586984014e+01 9.442958932828584562e-01
2.841051314142678308e+01 9.432913608201727307e-01
2.853566958698372957e+01 9.442711218707194876e-01
2.866082603254067607e+01 9.436835990559462317e-01
2.878598247809762256e+01 9.441456215139067965e-01
2.891113892365456906e+01 9.442651362114011793e-01
2.903629536921151555e+01 9.442400848788075063e-01
2.916145181476846204e+01 9.438467612019575403e-01
2.928660826032540854e+01 9.433354006521308399e-01
2.941176470588235503e+01 9.438263508279650660e-01
2.953692115143930152e+01 9.440896339074870136e-01
2.966207759699624802e+01 9.440177441966146610e-01
2.978723404255319451e+01 9.442039024992485707e-01
2.991239048811013745e+01 9.439377726061407570e-01
3.003754693366708395e+01 9.429324018769748017e-01
3.016270337922403044e+01 9.442105231648336705e-01
3.028785982478097694e+01 9.440789153416438984e-01
3.041301627033792343e+01 9.426749278332516857e-01
3.053817271589486992e+01 9.429915666071517766e-01
3.066332916145181642e+01 9.439871902066726550e-01
3.078848560700876291e+01 9.435728220506957031e-01
3.091364205256570941e+01 9.431392837242679184e-01
3.103879849812265590e+01 9.434368250884366258e-01
3.116395494367960239e+01 9.439543825559114643e-01
3.128911138923654889e+01 9.437871431355306928e-01
3.141426783479349183e+01 9.440689866299086797e-01
3.153942428035043832e+01 9.442385030714435246e-01
3.166458072590738482e+01 9.427313382366238059e-01
3.178973717146433131e+01 9.437777884024594055e-01
3.191489361702127781e+01 9.429117126958517225e-01
3.204005006257822430e+01 9.442290673573353610e-01
3.216520650813517079e+01 9.435320042167796295e-01
