# r   Lambda(r)
2.365456821026283052e+01 1.646313287590514562e+01
2.377972465581977701e+01 1.657496578997233883e+01
2.390488110137672351e+01 1.668823485755414993e+01
2.403003754693367000e+01 1.680010816281022556e+01
2.415519399249061294e+01 1.691273591101614215e+01
2.428035043804755944e+01 1.702338367326829527e+01
2.440550688360450593e+01 1.713771546378848498e+01
2.453066332916145242e+01 1.724943291224514752e+01
2.465581977471839892e+01 1.736170847125301009e+01
2.478097622027534541e+01 1.747401379415168421e+01
2.490613266583229191e+01 1.758661512630865431e+01
2.503128911138923840e+01 1.769904336266039024e+01
2.515644555694618489e+01 1.781097296043498801e+01
2.528160200250313139e+01 1.792300249768019782e+01
2.540675844806007788e+01 1.803459380485460528e+01
2.553191489361702082e+01 1.814786473326482863e+01
2.565707133917396732e+01 1.825862353549740291e+01
2.578222778473091381e+01 1.837051886288749358e+01
2.590738423028786030e+01 1.848330155405484732e+01
2.603254067584480680e+01 1.859405837404181128e+01
2.615769712140175329e+01 1.870690268088732822e+01
2.628285356695869979e+01 1.881896604265001471e+01
2.640801001251564628e+01 1.893093686849435997e+01
2.653316645807259277e+01 1.904047053652232435e+01
2.665832290362953927e+01 1.915417570676024184e+01
2.678347934918648576e+01 1.926540112948292460e+01
2.690863579474343226e+01 1.937721804962572136e+01
2.703379224030037520e+01 1.948725945390454228e+01
2.715894868585732169e+01 1.959990398740221451e+01
2.728410513141426819e+01 1.971179669005390878e+01
2.740926157697121468e+01 1.982389700306307745e+01
2.753441802252816117e+01 1.993550188034192772e+01
2.765957446808510767e+01 2.004657110524430763e+01
2.778473091364205416e+01 2.015858442422676333e+01
2.790988735919900066e+01 2.026982023850250414e+01
2.803504380475594715e+01 2.038080288138810658e+01
2.816020025031289364e+01 2.049230885842701610e+01
2.828535669586984014e+01 2.060384443950253086e+01
2.841051314142678308e+01 2.071531561075287087e+01
2.853566958698372957e+01 2.082396585966683134e+01
2.866082603254067607e+01 2.093707987706458340e+01
2.878598247809762256e+01 2.104828361991986441e+01
2.891113892365456906e+01 2.115888294221895194e+01
2.903629536921151555e+01 2.126967221405637787e+01
2.916145181476846204e+01 2.138189585817645266e+01
2.928660826032540854e+01 2.149269135605634062e+01
2.941176470588235503e+01 2.160333822927720249e+01
2.953692115143930152e+01 2.171444171724272110e+01
2.966207759699624802e+01 2.182501515369022016e+01
2.978723404255319451e+01 2.193627843520598475e+01
2.991239048811013745e+01 2.204709299168316150e+01
3.003754693366708395e+01 2.215750925753934908e+01
3.016270337922403044e+01 2.226851104085793054e+01
3.028785982478097694e+01 2.237781203309418387e+01
3.041301627033792343e+01 2.249071622850787833e+01
3.053817271589486992e+01 2.260043790904671468e+01
3.066332916145181642e+01 2.271055256177369941e+01
3.078848560700876291e+01 2.281979919085521402e+01
3.091364205256570941e+01 2.293319620691475791e+01
3.103879849812265590e+01 2.304348243183423861e+01
3.116395494367960239e+01 2.315374285910652219e+01
3.128911138923654889e+01 2.326384592429345943e+01
3.141426783479349183e+01 2.337504353391145528e+01
3.153942428035043832e+01 2.348431093935215230e+01
3.166458072590738482e+01 2.359495353969184706e+01
3.178973717146433131e+01 2.370538339134324701e+01
3.191489361702127781e+01 2.381632983308476170e+01
3.204005006257822430e+01 2.392640116927006844e+01
3.216520650813517079e+01 2.403670488228606317e+01
3.229036295369211729e+01 2.414649996549653821e+01
3.241551939924906378e+01 2.425636267959562531e+01
3.254067584480601028e+01 2.436717671756647974e+01
3.266583229036295677e+01 2.447660540062604184e+01
3.279098873591990326e+01 2.458728589088321925e+01
3.291614518147684976e+01 2.469715455495865442e+01
