# r   Lambda(r)
1.877346683354192791e+01 -3.734363415066074054e+00
1.889862327909887441e+01 -3.728401292551724033e+00
1.902377972465582090e+01 -3.721783615634073339e+00
1.914893617021276739e+01 -3.714067999741982096e+00
1.927409261576971389e+01 -3.706225683792120140e+00
1.939924906132666038e+01 -3.699127941860801183e+00
1.952440550688360688e+01 -3.692115816323129796e+00
1.964956195244055337e+01 -3.685961739319584041e+00
1.977471839799749631e+01 -3.678868563724882357e+00
1.989987484355444280e+01 -3.671581340240424485e+00
2.002503128911138930e+01 -3.665269699893813016e+00
2.015018773466833579e+01 -3.658527006982934981e+00
2.027534418022528229e+01 -3.651737293239905924e+00
2.040050062578222878e+01 -3.645060046952778521e+00
2.052565707133917527e+01 -3.638552258440759690e+00
2.065081351689612177e+01 -3.632189374886355626e+00
2.077596996245306826e+01 -3.626572462911183958e+00
2.090112640801001476e+01 -3.620579874890133443e+00
2.102628285356696125e+01 -3.614440049721088677e+00
2.115143929912390419e+01 -3.608399722745312843e+00
2.127659574468085069e+01 -3.602419552868835417e+00
2.140175219023779718e+01 -3.596771754129807430e+00
2.152690863579474367e+01 -3.591114030007484637e+00
2.165206508135169017e+01 -3.585753509487850543e+00
2.177722152690863666e+01 -3.580304629551196882e+00
2.190237797246558316e+01 -3.574635212685293162e+00
2.202753441802252965e+01 -3.569089858483808442e+00
2.215269086357947614e+01 -3.563670280078104380e+00
2.227784730913642264e+01 -3.558578596599052624e+00
2.240300375469336913e+01 -3.553726065583356686e+00
2.252816020025031563e+01 -3.548330088524703996e+00
2.265331664580725857e+01 -3.544102538807914815e+00
2.277847309136420506e+01 -3.537793389143068179e+00
2.290362953692115155e+01 -3.532989173787465020e+00
2.302878598247809805e+01 -3.527861214005073354e+00
2.315394242803504454e+01 -3.523492462131838643e+00
2.327909887359199104e+01 -3.518078482275805108e+00
2.340425531914893753e+01 -3.513078058341812859e+00
2.352941176470588402e+01 -3.508600132655352866e+00
2.365456821026283052e+01 -3.504177505545564397e+00
2.377972465581977701e+01 -3.498905976581724087e+00
2.390488110137672351e+01 -3.494677034071079547e+00
2.403003754693367000e+01 -3.489783507914243188e+00
2.415519399249061294e+01 -3.485652018675291508e+00
2.428035043804755944e+01 -3.480591978130749720e+00
2.440550688360450593e+01 -3.476448643958998552e+00
2.453066332916145242e+01 -3.471730495950054785e+00
2.465581977471839892e+01 -3.467527020329946197e+00
2.478097622027534541e+01 -3.463283896896144576e+00
2.490613266583229191e+01 -3.459502485613729750e+00
2.503128911138923840e+01 -3.454734437933610014e+00
2.515644555694618489e+01 -3.450872113316624468e+00
2.528160200250313139e+01 -3.447121755386904685e+00
2.540675844806007788e+01 -3.442293607134205402e+00
2.553191489361702082e+01 -3.439130893858223459e+00
2.565707133917396732e+01 -3.434698004881612032e+00
2.578222778473091381e+01 -3.430389687689144651e+00
2.590738423028786030e+01 -3.426484286709321481e+00
2.603254067584480680e+01 -3.422431728704264042e+00
2.615769712140175329e+01 -3.418765137977061830e+00
2.628285356695869979e+01 -3.414913538070163845e+00
2.640801001251564628e+01 -3.411657225879229927e+00
2.653316645807259277e+01 -3.407488098542683641e+00
2.665832290362953927e+01 -3.404715559998407581e+00
2.678347934918648576e+01 -3.400159452293444406e+00
2.690863579474343226e+01 -3.398590399687357877e+00
2.703379224030037520e+01 -3.393179668760024192e+00
2.715894868585732169e+01 -3.389744338780593225e+00
2.728410513141426819e+01 -3.385927020205439675e+00
2.740926157697121468e+01 -3.383056233174390748e+00
2.753441802252816117e+01 -3.379079260886019842e+00
2.765957446808510767e+01 -3.375994672675287411e+00
2.778473091364205416e+01 -3.372596592692410411e+00
2.790988735919900066e+01 -3.370014801540214489e+00
2.803504380475594715e+01 -3.366574980849087684e+00
2.816020025031289364e+01 -3.362843282955958912e+00
2.828535669586984014e+01 -3.361086506366084414e+00
2.841051314142678308e+01 -3.356801382288666424e+00
2.853566958698372957e+01 -3.354082623155103082e+00
2.866082603254067607e+01 -3.350624211213228509e+00
2.878598247809762256e+01 -3.347584901728640094e+00
2.891113892365456906e+01 -3.344730109106967220e+00
2.903629536921151555e+01 -3.343804197181905025e+00
2.916145181476846204e+01 -3.340941964987402368e+00
2.928660826032540854e+01 -3.335521713321763837e+00
2.941176470588235503e+01 -3.333748701251791680e+00
2.953692115143930152e+01 -3.329926126638547590e+00
