# r   Lambda(r)
4.380475594493116631e+01 -3.246188644107605548e+00
4.392991239048811281e+01 -3.244606711448633884e+00
4.405506883604505930e+01 -3.242492599788918017e+00
4.418022528160200579e+01 -3.240145100583697868e+00
4.430538172715895229e+01 -3.238255252264251816e+00
4.443053817271589878e+01 -3.237066485951558992e+00
4.455569461827284528e+01 -3.234666285270388908e+00
4.468085106382979177e+01 -3.232583072198620844e+00
4.480600750938673826e+01 -3.231044281278944830e+00
4.493116395494368476e+01 -3.229588334951198902e+00
4.505632040050063125e+01 -3.227142648895970467e+00
4.518147684605757064e+01 -3.225033652284216235e+00
4.530663329161451713e+01 -3.223549924351347684e+00
4.543178973717146363e+01 -3.221682777464495384e+00
4.555694618272841012e+01 -3.219902741207147479e+00
4.568210262828535662e+01 -3.218054968664283866e+00
4.580725907384230311e+01 -3.216629797466592056e+00
4.593241551939924960e+01 -3.214302350941256048e+00
4.605757196495619610e+01 -3.212392588801412430e+00
4.618272841051314259e+01 -3.211351328701079311e+00
4.630788485607008909e+01 -3.209173074314649821e+00
4.643304130162703558e+01 -3.207087026776537897e+00
4.655819774718398207e+01 -3.207764008971533354e+00
4.668335419274092857e+01 -3.203604464142084218e+00
4.680851063829787506e+01 -3.205089715055914557e+00
4.693366708385482156e+01 -3.200315064745409721e+00
4.705882352941176805e+01 -3.199690147556539799e+00
4.718397997496871454e+01 -3.196801803788102969e+00
4.730913642052566104e+01 -3.195430747005659544e+00
4.743429286608260753e+01 -3.193247012545182173e+00
4.755944931163955403e+01 -3.190886780319440064e+00
4.768460575719650052e+01 -3.189379745879431738e+00
4.780976220275344701e+01 -3.190015884803924173e+00
4.793491864831039351e+01 -3.185772629639963771e+00
4.806007509386734000e+01 -3.184664795472963217e+00
4.818523153942427939e+01 -3.182978387404028719e+00
4.831038798498122588e+01 -3.180561221355616031e+00
4.843554443053817238e+01 -3.180696220721707324e+00
4.856070087609511887e+01 -3.178657794556596805e+00
4.868585732165206537e+01 -3.177334835343626374e+00
4.881101376720901186e+01 -3.175552639540447419e+00
4.893617021276595835e+01 -3.175495089388770786e+00
4.906132665832290485e+01 -3.173700513691295466e+00
4.918648310387985134e+01 -3.169527859427047289e+00
4.931163954943679784e+01 -3.167078637033919009e+00
4.943679599499374433e+01 -3.166030339558903339e+00
4.956195244055069082e+01 -3.164156489212790024e+00
4.968710888610763732e+01 -3.163287032493548701e+00
4.981226533166458381e+01 -3.162123273014244784e+00
4.993742177722153031e+01 -3.159019912362587945e+00
5.006257822277847680e+01 -3.157597204731072527e+00
5.018773466833542329e+01 -3.158642568742812351e+00
5.031289111389236979e+01 -3.156228044891367990e+00
5.043804755944931628e+01 -3.152963135489962987e+00
5.056320400500626278e+01 -3.152976473632608467e+00
5.068836045056320927e+01 -3.154345686061177378e+00
5.081351689612015576e+01 -3.149697309829625702e+00
5.093867334167710226e+01 -3.146968092558250607e+00
5.106382978723404165e+01 -3.145437855206774547e+00
5.118898623279098814e+01 -3.143639454502010988e+00
5.131414267834793463e+01 -3.142931241298165812e+00
5.143929912390488113e+01 -3.140842027339401543e+00
5.156445556946182762e+01 -3.140872323178363512e+00
5.168961201501877412e+01 -3.139731050020030612e+00
5.181476846057572061e+01 -3.137702141508582176e+00
5.193992490613266710e+01 -3.135997419725084168e+00
5.206508135168961360e+01 -3.135539433643220963e+00
5.219023779724656009e+01 -3.133651856050092555e+00
5.231539424280350659e+01 -3.133119480972872850e+00
5.244055068836045308e+01 -3.133514600734613076e+00
5.256570713391739957e+01 -3.131473801849651739e+00
5.269086357947434607e+01 -3.131788526740598488e+00
